"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Rosinos de la Requejada","Zamora","Castilla y León","-20.000000000000000","0"
"La Cierva","Cuenca","Castilla-La Mancha","-15.555555555555602","0"
"Càrcer","València-Valencia","Comunitat Valenciana","-6.454918032786890","0"
"Benafigos","Castelló-Castellón","Comunitat Valenciana","-13.461538461538501","0"
"Carrocera","León","Castilla y León","-15.076335877862601","0"
"Carazo","Burgos","Castilla y León","10.810810810810798","0"
"Fuenlabrada de los Montes","Badajoz","Extremadura","-10.051813471502602","0"
"Barbadás","Ourense","Galicia","7.414906952077911","0"
"Piña de Esgueva","Valladolid","Castilla y León","-3.987730061349690","0"
"Torrepadre","Burgos","Castilla y León","9.523809523809520","0"
"Redecilla del Camino","Burgos","Castilla y León","-16.800000000000001","0"
"Tales","Castelló-Castellón","Comunitat Valenciana","-0.699300699300699","0"
"San Miguel del Robledo","Salamanca","Castilla y León","-30.434782608695699","0"
"Torrenueva","Ciudad Real","Castilla-La Mancha","-11.278447121820600","0"
"Arcos de las Salinas","Teruel","Aragón","16.000000000000000","0"
"Encinasola","Huelva","Andalucía","-2.684049079754600","0"
"Estepa","Sevilla","Andalucía","-2.320991552853870","0"
"Puerto Real","Cádiz","Andalucía","1.405293351974160","0"
"Líjar","Almería","Andalucía","-10.574712643678200","0"
"Velilla de los Ajos","Soria","Castilla y León","-40.740740740740705","0"
"Santa María de Dulcis","Huesca","Aragón","-8.849557522123892","0"
"El Paso","Santa Cruz de Tenerife","Canarias","4.594984902192460","0"
"Sotillo","Segovia","Castilla y León","7.142857142857141","0"
"San Bartolomé de Béjar","Ávila","Castilla y León","22.727272727272698","0"
"Navadijos","Ávila","Castilla y León","-2.500000000000000","0"
"Castellnou de Bages","Barcelona","Cataluña-Catalunya","14.987912973408498","0"
"La Morera","Badajoz","Extremadura","-5.510752688172039","0"
"Orxeta","Alacant-Alicante","Comunitat Valenciana","-4.000000000000000","0"
"Sant Llorenç de la Muga","Girona","Cataluña-Catalunya","10.441767068273100","0"
"Aldeanueva de la Sierra","Salamanca","Castilla y León","-6.194690265486731","0"
"Ledrada","Salamanca","Castilla y León","-12.695312500000000","0"
"Hornachos","Badajoz","Extremadura","-9.504898067249139","0"
"San Lorenzo de Calatrava","Ciudad Real","Castilla-La Mancha","-11.946902654867300","0"
"Alamedilla","Granada","Andalucía","-14.589665653495400","0"
"Carriches","Toledo","Castilla-La Mancha","-11.184210526315800","0"
"Mundaka","Bizkaia","País Vasco-Euskadi","-2.641310089804540","0"
"Alcoleja","Alacant-Alicante","Comunitat Valenciana","-1.570680628272250","0"
"El Poal","Lleida","Cataluña-Catalunya","-0.152439024390244","0"
"Linares de Riofrío","Salamanca","Castilla y León","-4.253112033195020","0"
"Carcaixent","València-Valencia","Comunitat Valenciana","0.795614418085674","0"
"Fonz","Huesca","Aragón","-7.708333333333330","0"
"Tardáguila","Salamanca","Castilla y León","-16.521739130434799","0"
"Laspaúles","Huesca","Aragón","-23.026315789473696","0"
"Ródenas","Teruel","Aragón","-17.333333333333300","0"
"Tordelrábano","Guadalajara","Castilla-La Mancha","14.285714285714301","0"
"la Llosa","Castelló-Castellón","Comunitat Valenciana","3.189300411522630","0"
"Dosrius","Barcelona","Cataluña-Catalunya","15.047693206151498","0"
"La Llagosta","Barcelona","Cataluña-Catalunya","-1.943410275502610","0"
"Brenes","Sevilla","Andalucía","0.850661625708885","0"
"Vila-rodona","Tarragona","Cataluña-Catalunya","7.753164556962030","0"
"Sant Joan de Mollet","Girona","Cataluña-Catalunya","2.946954813359530","0"
"San Juan de Plan","Huesca","Aragón","4.761904761904760","0"
"Sant Cugat Sesgarrigues","Barcelona","Cataluña-Catalunya","5.555555555555561","0"
"Sena","Huesca","Aragón","-5.813953488372090","0"
